home.txt:12 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:323 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:326 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:329 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:332 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:335 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:383 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:386 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:389 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:392 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:395 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:443 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:446 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:449 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:452 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:455 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:503 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:506 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:509 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:512 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:515 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:563 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:566 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:569 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:572 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:575 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:623 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:626 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:629 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:632 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:635 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:683 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:686 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:689 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:692 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:695 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:747 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:768 ---> src="{% static " (has {%}، {} یا URL مطلق)
home.txt:790 ---> src="{% static " (has {%}، {} یا URL مطلق)
properties-list.txt:337 ---> Updated src="{% static 'assets/images/house/featured-25.jpg' %}"
properties-list.txt:338 ---> Updated src="{% static 'assets/images/house/featured-22.jpg' %}"
properties-list.txt:339 ---> Updated src="{% static 'assets/images/house/featured-23.jpg' %}"
properties-list.txt:340 ---> Updated src="{% static 'assets/images/house/featured-24.jpg' %}"
properties-list.txt:341 ---> Updated src="{% static 'assets/images/house/featured-26.jpg' %}"
properties-list.txt:359 ---> Updated src="{% static 'assets/images/author/author-1.jpg' %}"
properties-list.txt:373 ---> Updated src="{% static 'assets/images/house/featured-4.jpg' %}"
properties-list.txt:374 ---> Updated src="{% static 'assets/images/house/featured-2.jpg' %}"
properties-list.txt:375 ---> Updated src="{% static 'assets/images/house/featured-3.jpg' %}"
properties-list.txt:376 ---> Updated src="{% static 'assets/images/house/featured-7.jpg' %}"
properties-list.txt:377 ---> Updated src="{% static 'assets/images/house/featured-5.jpg' %}"
properties-list.txt:395 ---> Updated src="{% static 'assets/images/author/author-2.jpg' %}"
properties-list.txt:409 ---> Updated src="{% static 'assets/images/house/featured-32.jpg' %}"
properties-list.txt:410 ---> Updated src="{% static 'assets/images/house/featured-12.jpg' %}"
properties-list.txt:411 ---> Updated src="{% static 'assets/images/house/featured-13.jpg' %}"
properties-list.txt:412 ---> Updated src="{% static 'assets/images/house/featured-14.jpg' %}"
properties-list.txt:413 ---> Updated src="{% static 'assets/images/house/featured-15.jpg' %}"
properties-list.txt:431 ---> Updated src="{% static 'assets/images/author/author-3.jpg' %}"
properties-list.txt:445 ---> Updated src="{% static 'assets/images/house/featured-1.jpg' %}"
properties-list.txt:446 ---> Updated src="{% static 'assets/images/house/featured-22.jpg' %}"
properties-list.txt:447 ---> Updated src="{% static 'assets/images/house/featured-23.jpg' %}"
properties-list.txt:448 ---> Updated src="{% static 'assets/images/house/featured-24.jpg' %}"
properties-list.txt:449 ---> Updated src="{% static 'assets/images/house/featured-25.jpg' %}"
properties-list.txt:467 ---> Updated src="{% static 'assets/images/author/author-4.jpg' %}"
properties-list.txt:481 ---> Updated src="{% static 'assets/images/house/featured-27.jpg' %}"
properties-list.txt:482 ---> Updated src="{% static 'assets/images/house/featured-2.jpg' %}"
properties-list.txt:483 ---> Updated src="{% static 'assets/images/house/featured-3.jpg' %}"
properties-list.txt:484 ---> Updated src="{% static 'assets/images/house/featured-4.jpg' %}"
properties-list.txt:485 ---> Updated src="{% static 'assets/images/house/featured-5.jpg' %}"
properties-list.txt:503 ---> Updated src="{% static 'assets/images/author/author-5.jpg' %}"
properties-list.txt:517 ---> Updated src="{% static 'assets/images/house/featured-5.jpg' %}"
properties-list.txt:518 ---> Updated src="{% static 'assets/images/house/featured-12.jpg' %}"
properties-list.txt:519 ---> Updated src="{% static 'assets/images/house/featured-13.jpg' %}"
properties-list.txt:520 ---> Updated src="{% static 'assets/images/house/featured-14.jpg' %}"
properties-list.txt:521 ---> Updated src="{% static 'assets/images/house/featured-15.jpg' %}"
properties-list.txt:539 ---> Updated src="{% static 'assets/images/author/author-6.jpg' %}"
properties-list.txt:553 ---> Updated src="{% static 'assets/images/house/featured-37.jpg' %}"
properties-list.txt:554 ---> Updated src="{% static 'assets/images/house/featured-32.jpg' %}"
properties-list.txt:555 ---> Updated src="{% static 'assets/images/house/featured-33.jpg' %}"
properties-list.txt:556 ---> Updated src="{% static 'assets/images/house/featured-34.jpg' %}"
properties-list.txt:557 ---> Updated src="{% static 'assets/images/house/featured-35.jpg' %}"
properties-list.txt:575 ---> Updated src="{% static 'assets/images/author/author-7.jpg' %}"
properties-list.txt:589 ---> Updated src="{% static 'assets/images/house/featured-6.jpg' %}"
properties-list.txt:590 ---> Updated src="{% static 'assets/images/house/featured-22.jpg' %}"
properties-list.txt:591 ---> Updated src="{% static 'assets/images/house/featured-23.jpg' %}"
properties-list.txt:592 ---> Updated src="{% static 'assets/images/house/featured-24.jpg' %}"
properties-list.txt:593 ---> Updated src="{% static 'assets/images/house/featured-25.jpg' %}"
properties-list.txt:611 ---> Updated src="{% static 'assets/images/author/author-8.jpg' %}"
properties-list.txt:625 ---> Updated src="{% static 'assets/images/house/featured-30.jpg' %}"
properties-list.txt:626 ---> Updated src="{% static 'assets/images/house/featured-12.jpg' %}"
properties-list.txt:627 ---> Updated src="{% static 'assets/images/house/featured-13.jpg' %}"
properties-list.txt:628 ---> Updated src="{% static 'assets/images/house/featured-14.jpg' %}"
properties-list.txt:629 ---> Updated src="{% static 'assets/images/house/featured-15.jpg' %}"
properties-list.txt:647 ---> Updated src="{% static 'assets/images/author/author-9.jpg' %}"
properties-list.txt:661 ---> Updated src="{% static 'assets/images/house/featured-31.jpg' %}"
properties-list.txt:662 ---> Updated src="{% static 'assets/images/house/featured-11.jpg' %}"
properties-list.txt:663 ---> Updated src="{% static 'assets/images/house/featured-12.jpg' %}"
properties-list.txt:664 ---> Updated src="{% static 'assets/images/house/featured-10.jpg' %}"
properties-list.txt:665 ---> Updated src="{% static 'assets/images/house/featured-9.jpg' %}"
properties-list.txt:683 ---> Updated src="{% static 'assets/images/author/author-12.jpg' %}"
properties-list.txt:697 ---> Updated src="{% static 'assets/images/house/featured-32.jpg' %}"
properties-list.txt:698 ---> Updated src="{% static 'assets/images/house/featured-2.jpg' %}"
properties-list.txt:699 ---> Updated src="{% static 'assets/images/house/featured-3.jpg' %}"
properties-list.txt:700 ---> Updated src="{% static 'assets/images/house/featured-4.jpg' %}"
properties-list.txt:701 ---> Updated src="{% static 'assets/images/house/featured-5.jpg' %}"
properties-list.txt:719 ---> Updated src="{% static 'assets/images/author/author-10.jpg' %}"
properties-list.txt:733 ---> Updated src="{% static 'assets/images/house/featured-33.jpg' %}"
properties-list.txt:734 ---> Updated src="{% static 'assets/images/house/featured-12.jpg' %}"
properties-list.txt:735 ---> Updated src="{% static 'assets/images/house/featured-13.jpg' %}"
properties-list.txt:736 ---> Updated src="{% static 'assets/images/house/featured-14.jpg' %}"
properties-list.txt:737 ---> Updated src="{% static 'assets/images/house/featured-15.jpg' %}"
properties-list.txt:755 ---> Updated src="{% static 'assets/images/author/author-11.jpg' %}"
properties-list.txt:769 ---> Updated src="{% static 'assets/images/house/featured-35.jpg' %}"
properties-list.txt:770 ---> Updated src="{% static 'assets/images/house/featured-22.jpg' %}"
properties-list.txt:771 ---> Updated src="{% static 'assets/images/house/featured-23.jpg' %}"
properties-list.txt:772 ---> Updated src="{% static 'assets/images/house/featured-24.jpg' %}"
properties-list.txt:773 ---> Updated src="{% static 'assets/images/house/featured-25.jpg' %}"
properties-list.txt:791 ---> Updated src="{% static 'assets/images/author/author-12.jpg' %}"
properties-list.txt:805 ---> Updated src="{% static 'assets/images/house/featured-36.jpg' %}"
properties-list.txt:806 ---> Updated src="{% static 'assets/images/house/featured-32.jpg' %}"
properties-list.txt:807 ---> Updated src="{% static 'assets/images/house/featured-33.jpg' %}"
properties-list.txt:808 ---> Updated src="{% static 'assets/images/house/featured-34.jpg' %}"
properties-list.txt:809 ---> Updated src="{% static 'assets/images/house/featured-35.jpg' %}"
properties-list.txt:827 ---> Updated src="{% static 'assets/images/author/author-17.jpg' %}"
properties-list.txt:841 ---> Updated src="{% static 'assets/images/house/featured-29.jpg' %}"
properties-list.txt:842 ---> Updated src="{% static 'assets/images/house/featured-22.jpg' %}"
properties-list.txt:843 ---> Updated src="{% static 'assets/images/house/featured-23.jpg' %}"
properties-list.txt:844 ---> Updated src="{% static 'assets/images/house/featured-24.jpg' %}"
properties-list.txt:845 ---> Updated src="{% static 'assets/images/house/featured-25.jpg' %}"
properties-list.txt:863 ---> Updated src="{% static 'assets/images/author/author-18.jpg' %}"
properties-list.txt:877 ---> Updated src="{% static 'assets/images/house/featured-28.jpg' %}"
properties-list.txt:878 ---> Updated src="{% static 'assets/images/house/featured-2.jpg' %}"
properties-list.txt:879 ---> Updated src="{% static 'assets/images/house/featured-3.jpg' %}"
properties-list.txt:880 ---> Updated src="{% static 'assets/images/house/featured-4.jpg' %}"
properties-list.txt:881 ---> Updated src="{% static 'assets/images/house/featured-5.jpg' %}"
properties-list.txt:899 ---> Updated src="{% static 'assets/images/author/author-19.jpg' %}"
properties-list.txt:925 ---> Updated src="{% static 'assets/images/author/author-sidebar-1.jpg' %}"
properties-list.txt:934 ---> Updated src="{% static 'assets/images/author/author-sidebar-2.jpg' %}"
properties-list.txt:943 ---> Updated src="{% static 'assets/images/author/author-sidebar-3.jpg' %}"
properties-list.txt:958 ---> Updated src="{% static 'assets/images/img-box/sidebar-listings-1.jpg' %}"
properties-list.txt:967 ---> Updated src="{% static 'assets/images/img-box/sidebar-listings-2.jpg' %}"
properties-list.txt:976 ---> Updated src="{% static 'assets/images/img-box/sidebar-listings-3.jpg' %}"
properties-list.txt:985 ---> Updated src="{% static 'assets/images/img-box/sidebar-listings-4.jpg' %}"
properties-list.txt:994 ---> Updated src="{% static 'assets/images/img-box/sidebar-listings-5.jpg' %}"
properties-list.txt:1010 ---> Updated src="{% static 'assets/images/img-box/sidebar-estate-1.jpg' %}"
properties-list.txt:1019 ---> Updated src="{% static 'assets/images/img-box/sidebar-estate-2.jpg' %}"
properties-list.txt:1028 ---> Updated src="{% static 'assets/images/img-box/sidebar-estate-3.jpg' %}"
properties-list.txt:1037 ---> Updated src="{% static 'assets/images/img-box/sidebar-estate-4.jpg' %}"
properties-list.txt:1046 ---> Updated src="{% static 'assets/images/img-box/sidebar-estate-5.jpg' %}"
properties-list.txt:1055 ---> Updated src="{% static 'assets/images/img-box/sidebar-estate-6.jpg' %}"
properties-list.txt:1105 ---> Updated src="{% static 'assets/images/mark/mark-contact2.png' %}"
